;word
126;статистическое расхождение в соответствии с методологией снс 2008
127;чистый экспорт
128;экспорт товаров и услуг
129;валовое накопление основного капитала в соответствии с методологией снс 2008
130;экспорт услуг (снс)
131;расходы на конечное потребление государственного управления в соответствии с методологией снс 2008
132;баланс текущих операций в соответствии с методологией снс 1993 с частичными отклонениями
133;валовая прибыль в соответствии с методологией снс 1993 с частичными отклонениями
134;валовое сбережение в соответствии с методологией снс 1993 с частичными отклонениями
135;валовой располагаемый доход в соответствии с методологией снс 1993 с частичными отклонениями
136;валовой скорректированный располагаемый доход в соответствии с методологией снс 1993 с частичными отклонениями
137;валовой смешанный  доход в соответствии с методологией снс 1993 с частичными отклонениями
138;другие текущие трансферты (переданные), в соответствии с методологией снс 1993 с частичными отклонениями
139;другие текущие трансферты (полученные), в соответствии с методологией снс 1993 с частичными отклонениями
140;капитальные трансферты, переданные, в соответствии с методологией снс 1993 с частичными отклонениями
141;капитальные трансферты, полученные, в соответствии с методологией снс 1993 с частичными отклонениями
142;оплата труда наемных работников выплаченная, в соответствии с методологией снс 1993 с частичными отклонениями
143;оплата труда наемных работников полученная в соответствии с методологией снс 1993 с частичными отклонениями
144;переданные чистые налоги  на продукты
145;переданные чистые налоги на производство и импорт
146;поправка на изменение чистой стоимости средств домашних хозяйств в пенсионных фондах в соответствии с методологией снс 1993 с частичными отклонениями
147;потребление основного капитала в соответствии с методологией снс 1993 с частичными отклонениями
148;сальдо внешних операций с товарами и услугами в соответствии с методологией снс 1993 с частичными отклонениями
149;сальдо первичных доходов (валовое) в соответствии с методологией снс 1993 с частичными отклонениями
150;сальдо первичных доходов (чистое) в соответствии с методологией снс 1993 с частичными отклонениями
151;социальные пособия, кроме социальных трансфертов в натуральной форме (переданные), в соответствии с методологией снс 1993 с частичными отклонениями
152;социальные пособия, кроме социальных трансфертов в натуральной форме (полученные), в соответствии с методологией снс 1993 с частичными отклонениями
153;социальные трансферты в натуральной форме (переданные), в соответствии с методологией снс 1993 с частичными отклонениями
154;социальные трансферты в натуральной форме (полученные), в соответствии с методологией снс 1993 с частичными отклонениями
155;фактическое конечное потребление в соответствии с методологией снс 1993 с частичными отклонениями
156;чистая добавленная стоимость в соответствии с методологией снс 1993 с частичными отклонениями
157;чистая прибыль в соответствии с методологией снс 1993 с частичными отклонениями
158;чистое сбережение в соответствии с методологией снс 1993 с частичными отклонениями
159;чистый располагаемый доход в соответствии с методологией снс 1993 с частичными отклонениями
160;чистый скорректированный располагаемый доход в соответствии с методологией снс 1993 с частичными отклонениями
161;чистый смешанный доход в соответствии с методологией снс 1993 с частичными отклонениями
162;валовой региональный продукт  в основных ценах (оквэд-2007)
163;валовой региональный продукт в основных ценах (оквэд 2)
164;валовой региональный продукт на душу населения
165;валовой региональный продукт на душу населения (оквэд 2)
166;доля валового регионального продукта субъекта рф в валовом региональном продукте российской федерации как суммы валовых продуктов субъектов рф
167;доля валового регионального продукта субъекта российской федерации в валовом региональном продукте российской федерации как суммы валовых продуктов субъектов российской федерации (оквэд 2)
168;доля продукции высокотехнологичных и наукоемких отраслей в валовом региональном продукте субъекта российской федерации
169;индекс физического объема валового регионального продукта на душу населения
170;индекс физического объема валового регионального продукта на душу населения (оквэд 2)
171;индексы физического объема валового регионального продукта (оквэд 2)
172;индексы физического объёма валового регионального продукта в основных ценах (оквэд-2007)
173;структура валового регионального продукта (оквэд 2)
174;структура валового регионального продукта (оквэд-2007)
175;удельный вес инвестиций в основной капитал в валовом региональном продукте
176;валовый региональный продукт в основных ценах (оквэд 2)
177;валовая прибыль экономики и валовые смешанные доходы по регионам российской федерации
178;другие чистые налоги на производство по регионам российской федерации
179;фактическое конечное потребление домашних  хозяйств на территории субъектов российской федерации
180;фактическое конечное потребление домашних хозяйств  на душу населения по субъектам российской федерации
181;валовое накопление основного капитала на территории субъектов российской федерации
182;индекс выпуска товаров и услуг по базовым видам экономической деятельности в соответствии с методологией снс 2008 (оквэд 2) 
183;индекс выпуска товаров и услуг по базовым видам экономической деятельности по субъектам российской федерации
184;доля малого и среднего предпринимательства в валовом внутреннем продукте российской федерации
185;валовая добавленная стоимость, созданная субъектами малого и среднего предпринимательства в субъекте российской федерации
186;доля малого и среднего предпринимательства в валовом региональном продукте
187;введено новых основных фондов в среднегодовых ценах по 2016 г.
188;введено новых основных фондов в среднегодовых ценах с 2017 г.
189;ввод новых основных фондов по полному кругу организаций по 2016 г.
190;ввод новых основных фондов по полному кругу организаций с 2017 г.
191;индекс изменения стоимости основных фондов в постоянных ценах 
192;индекс физического объема основных фондов по полному кругу организаций по 2016 г.
193;коэффициент выбытия основных фондов в постоянных ценах с 2017 г.
194;коэффициент выбытия основных фондов по полному кругу организаций по 2016 г.
195;коэффициент обновления основных фондов в постоянных ценах с 2017 г.
196;коэффициент обновления основных фондов по полному кругу организаций  по 2016 г.
197;ликвидировано основных фондов  по полному кругу организаций по 2016 г.
198;ликвидировано основных фондов в среднегодовых ценах по 2016 г.
199;ликвидировано основных фондов в среднегодовых ценах с 2017 г.
200;ликвидировано основных фондов по полному кругу организаций с 2017 г.
201;наличие основных фондов на конец года в среднегодовых ценах по 2016 г.
202;наличие основных фондов на конец года по остаточной балансовой стоимости по полному кругу организаций по 2016 г.
203;наличие основных фондов на конец года по полной учетной стоимости по полному кругу организаций по 2016 г.
204;наличие основных фондов на начало года в среднегодовых ценах по 2016 г.
205;наличие основных фондов на начало года в среднегодовых ценах с 2017 г.
206;наличие основных фондов на начало года по полной учетной стоимости  по полному кругу организаций по 2016 г.
207;наличие основных фондов на начало года по полной учетной стоимости по полному кругу организаций с 2017 г.
208;среднегодовое наличие основных фондов в среднегодовых ценах по 2016 г.
209;среднегодовое наличие основных фондов в среднегодовых ценах с 2017 г.
210;степень износа основных фондов на конец года по полному кругу организаций по 2016 г.
211;степень износа основных фондов на конец года по полному кругу организаций с 2017 г.
212;наличие основных фондов на конец года в среднегодовых ценах с 2017 г.
213;наличие основных фондов на конец года по остаточной балансовой стоимости по полному кругу организаций с 2017 г.
214;наличие основных фондов на конец года по полной учетной стоимости по полному кругу организаций с 2017 г.
215;индекс изменения фондовооруженности по основным отраслям экономики по 2016 г.
216;индекс изменения фондовооруженности по основным отраслям экономики с 2017 г.
217;индекс изменения фондоотдачи по основным отраслям экономики по 2016 г.
218;индекс изменения фондоотдачи по основным отраслям экономики с 2017 г.
219;ввод в действие основных фондов на 1 рубль инвестиций по основным видам деятельности в среднегодовых ценах по 2016 г.
220;ввод в действие основных фондов на 1 рубль инвестиций по основным видам деятельности в среднегодовых ценах с 2017 г.
221;наличие накопленного домашнего имущества на 1 января текущего года (в ценах приобретения)
222;текущая рыночная стоимость товаров длительного пользования домашних хозяйств на конец года
223;национальное богатство российской федерации на конец года
224;амортизация основных фондов, начисленная за отчетный год в коммерческих организациях (без субъектов малого предпринимательства) по 2016 г.
225;амортизация основных фондов, начисленная за отчетный год, в коммерческих организациях (без субъектов малого предпринимательства) с 2017 г.
226;изменение накопленной амортизации основных фондов
227;изменение остаточной балансовой стоимости основных фондов
228;изменение полной учетной стоимости основных фондов
229;накопленная амортизация основных фондов
230;наличие основных фондов на конец года по остаточной балансовой стоимости коммерческих организаций (без субъектов малого предпринимательства) по 2016 г.
231;наличие основных фондов на конец года по остаточной балансовой стоимости коммерческих организаций (без субъектов малого предпринимательства) с 2017 г.
232;наличие основных фондов на конец года по полной учетной стоимости коммерческих организаций (без субъектов малого предпринимательства) по 2016 г.
233;наличие основных фондов на конец года по полной учетной стоимости коммерческих организаций (без субъектов малого предпринимательства) с 2017 г.
234;наличие полностью изношенных основных фондов коммерческих организаций (без субъектов малого предпринимательства) на конец года с 2017 г.
235;наличие полностью изношенных основных фондов на конец года коммерческих организаций (без субъектов малого предпринимательства) по 2016 г.
236;начисленный за год учетный износ основных фондов (амортизация и износ, отражаемые в бухгалтерском учете и отчетности) коммерческих организаций (без субъектов малого предпринимательства) по 2016 г.
237;начисленный за год учетный износ основных фондов (амортизация и износ, отражаемые в бухгалтерском учете и отчетности) коммерческих организаций (без субъектов малого предпринимательства) с 2017 г.
238;средний возраст имеющихся на конец года машин и оборудования по видам экономической деятельности, по коммерческим организациям с 2021 г.
239;средний возраст имеющихся на конец года транспортных средств по видам экономической деятельности, по коммерческим организациям с 2021 г.
240;степень износа основных фондов коммерческих организаций (без субъектов малого предпринимательства) на конец года по 2016 г.
241;степень износа основных фондов на конец года коммерческих организаций (без субъектов малого предпринимательства) с 2017 г.
242;увеличение полной учетной стоимости за отчетный период (поступление) за счет создания новой стоимости (ввода в действие новых основных фондов, модернизации, реконструкции) коммерческих организаций (без субъектов малого предпринимательства) с 2017 г.
243;увеличение полной учетной стоимости основных фондов за отчетный период (поступление) за счет создания новой стоимости (ввода в действие новых основных фондов, модернизации, реконструкции) коммерческих организаций (без субъектов малого предпринимательства) по 2016 г.
244;удельный вес полностью изношенных основных фондов коммерческих организаций (без субъектов малого предпринимательства) на конец года с 2017 г.
245;удельный вес полностью изношенных основных фондов на конец года коммерческих организаций (без субъектов малого предпринимательства) по 2016 г.
246;уменьшение полной учетной стоимости за отчетный период (выбытие) за счет ликвидации основных фондов коммерческих организаций (без субъектов малого предпринимательства) по 2016 г.
247;уменьшение полной учетной стоимости за отчетный период (выбытие) за счет ликвидации основных фондов коммерческих организаций (без субъектов малого предпринимательства) с 2017 г.
248;доля машин, оборудования в общем объеме основных фондов по отраслям экономики, в т.ч. относящимся к высокой, средней, и низкой степени технологичности, по коммерческим (без субъектов малого предпринимательства) и некоммерческим организациям (по полной учетной стоимости, в смешанных ценах) по 2016 г.
